# ASD-STE100 Simplified Technical English, Issue 9 (January 2025), Part 2, Dictionary.
# One line per entry, sorted by word. Fields are separated by " | ":
#
#   word (part of speech) | verdict | approved meaning | use instead
#
# The verdict is "approved" or "not approved". A dash means the field does not apply.
# For an approved word, "use instead" gives what to use for its other senses, and is a
# dash when the word carries only the one meaning. For a word that is not approved, the
# field gives the approved words to use, or the standard's guidance where it gives no
# substitute. (TN) marks a technical noun and (TV) a technical verb, which name a
# category for your own terms rather than a specific word.
#
# Look a word up with its trailing space, so the match is the entry and not a mention
# of the word somewhere else:
#
#   grep -i "^work " ste100-words.txt
deliver (v) | not approved | - | SUPPLY (v)
delivery (n) | not approved | - | SUPPLY (v)
demand (v) | not approved | - | NECESSARY (adj)
denote (v) | not approved | - | SHOW (v)
dent (v) | not approved | - | DENT (TN)
depend (v) | not approved | - | IF (conj)
deplete (v) | not approved | - | DECREASE (v)
DEPLOY (v) | approved | to move or cause to move from a specified position of storage and into operation | -
deposit (n) | not approved | - | PARTICLE (n), CONTAMINATION (n)
depress (v) | not approved | - | PUSH (v)
depressurize (v) | not approved | - | PRESSURE (TN)
DEPTH (n) | approved | the distance from the top down, from the surface down, from the front surface to the rear surface | -
describe (v) | not approved | - | GIVE (v)
deselect (v) | not approved | - | CANCEL (v)
design (v) | not approved | - | HAVE (v)
desired (adj) | not approved | - | NECESSARY (adj), CORRECT (adj)
destroy (v) | not approved | - | BREAK (v)
detach (v) | not approved | - | DISCONNECT (v), DISENGAGE (v), REMOVE (v)
detail (n) | not approved | - | INSTRUCTION (n)
detail (v) | not approved | - | GIVE (v), REFER (v), SPECIFIED (adj)
detect (v) | not approved | - | FIND (v), SENSE (v)
DETERIORATION (n) | approved | a worse condition | -
determine (v) | not approved | - | FIND (v), GIVE (v), SELECT (v), CALCULATE (v)
detrimental (adj) | not approved | - | DANGEROUS (adj), DAMAGE (n)
develop (v) | not approved | - | START (v), CAUSE (v)
deviate (v) | not approved | - | OBEY (v)
DEVICE (n) | approved | something used to do a task | -
devise (v) | not approved | - | MAKE (v), FIND (v)
diagnose (v) | not approved | - | FIND (v)
DIAGONALLY (adv) | approved | in a diagonal direction | -
diametrically (adv) | not approved | - | OPPOSITE (adj)
differ (v) | not approved | - | DIFFERENT (adj)
DIFFERENCE (n) | approved | that which is different between two quantities, numbers, or functions | -
DIFFERENT (adj) | approved | not the same | -
differentiate (v) | not approved | - | IDENTIFY (v)
DIFFERENTLY (adv) | approved | in a different manner | -
difficult (adj) | not approved | - | NOT EASY, NOT EASILY
difficulty (n) | not approved | - | NOT EASY, NOT EASILY
DIGITAL (adj) | approved | related to digits | -
DIGITALLY (adv) | approved | given by digits | -
dilute (v) | not approved | - | MIX (v), ADD (v)
DIM (adj) | approved | not bright | -
dim (v) | not approved | - | DECREASE (v)
DIMENSION (n) | approved | the result when something is measured in one direction | -
diminish (v) | not approved | - | DECREASE (v)
DIMLY (adv) | approved | not bright | -
dip (v) | not approved | - | MOMENTARILY (adv)
direct (v) | not approved | - | POINT (v)
DIRECTION (n) | approved | the line on which something moves or is pointed | -
DIRECTLY (adv) | approved | in a direct procedure or by direct effect | -
DIRTY (adj) | approved | not clean | -
disappear (v) | not approved | - | VIEW (n)
DISARM (v) | approved | to remove armaments; to prevent automatic operation | -
DISASSEMBLE (v) | approved | to take an assembly apart | -
DISCARD (v) | approved | to not use again | -
discharge (v) | not approved | - | RELEASE (v), GO (v)
DISCONNECT (v) | approved | to separate something from the thing that it is connected to, or to become separated | -
discontinue (v) | not approved | - | STOP (v)
discover (v) | not approved | - | FIND (v)
discrepancy (n) | not approved | - | DIFFERENCE (n)
DISENGAGE (v) | approved | to release or become released from something that engages | -
disinfect (v) | not approved | - | DISINFECTANT (TN)
dismantle (v) | not approved | - | DISASSEMBLE (v)
dispatch (v) | not approved | - | SEND (v)
disperse (v) | not approved | - | REMOVE (v)
displace (v) | not approved | - | MOVE (v)
DISPLAY (n) | approved | a visual indication | -
display (v) | not approved | - | SHOW (v)
dispose of (v) | not approved | - | DISCARD (v)
disposition (n) | not approved | - | LOCATION (n), POSITION (n)
disregard (v) | not approved | - | IGNORE (v)
DISTANCE (n) | approved | the dimension between two points or objects | -
distinct (adj) | not approved | - | CLEAR (adj)
distinctly (adv) | not approved | - | CLEARLY (adv)
distort (v) | not approved | - | TWIST (v)
distribute (v) | not approved | - | APPLY (v), SUPPLY (v)
distribution (n) | not approved | - | SUPPLY (n)
disturb (v) | not approved | - | MOVE (v), CHANGE (v)
DIVIDE (v) | approved | to separate into parts or groups; to do mathematical division | -
DO (v) | approved | to complete a procedure, task, or step; as an auxiliary verb a. negative command or statement b. question | -
don (v) | not approved | - | USE (v), PUT ON (v)
doubt (n) | not approved | - | NOT SURE, THINK (v)
DOWN (adj) | approved | in a position below | -
DOWN (adv) | approved | to a position below | -
DOWN (prep) | approved | to a position below | -
DOWNSTREAM (adj) | approved | in the direction of the flow | -
DOWNSTREAM (adv) | approved | in the direction of the flow | -
DOWNSTREAM OF (prep) | approved | in the direction of the flow | -
downward (adv) | not approved | - | DOWN (adv)
drag (v) | not approved | - | PULL (v)
DRAIN (v) | approved | to remove liquid | -
draw (v) | not approved | - | MAKE (v), PULL (v)
dress (v) | not approved | - | USE (v), PUT ON (v)
drift (v) | not approved | - | MOVE (v), REMOVE (v) (WITH A DRIFT [TN])
DRINK (v) | approved | to consume liquid | SWALLOW (v)
drive (v) | not approved | - | MOVE (v), REMOVE (v), OPERATE (v)
droop (v) | not approved | - | MOVE (v)
DROP (n) | approved | a small quantity of liquid in a spherical shape | -
drop (v) | not approved | - | FALL (v), DECREASE (v)
DRY (adj) | approved | without liquid or | -
DRY (v) | approved | to remove liquid or moisture, or to become dry | -
due to (prep) | not approved | - | BECAUSE OF (prep), BECAUSE (conj)
dull (adj) | not approved | - | DIM (adj), MATT (adj)
duration (n) | not approved | - | DURING (prep)
DURING (prep) | approved | in or for a specified time | -
dust (v) | not approved | - | APPLY (v)
EACH (adj) | approved | every one of two or more objects or persons, seen together as a group but identified separately | -
EACH (pron) | approved | every one of two or more objects or persons, seen together as a group but identified separately OF 3.5 mm. | -
EACH OTHER (pron) | approved | each of two or more in reciprocal action or relation | -
early (adj) | not approved | - | SHORT (adj)
earth (n) | not approved | - | GROUND (n)
earth (v) | not approved | - | GROUND (v)
ease (n) | not approved | - | EASILY (adv), EASY (adj)
ease (v) | not approved | - | CAREFULLY REMOVE, CAREFULLY MOVE
EASILY (adv) | approved | without difficulty | -
EASY (adj) | approved | without difficulty | -
EAT (v) | approved | to consume food | SWALLOW (v)
EDGE (n) | approved | a line that is the intersection of two surfaces of a solid object | -
EFFECT (n) | approved | the result of a cause | -
effect (v) | not approved | - | DO (v)
effective (adj) | not approved | - | GOOD (adj)
efficacious (adj) | not approved | - | GOOD (adj)
efficient (adj) | not approved | - | SATISFACTORY (adj)
efficiently (adv) | not approved | - | SATISFACTORILY (adv)
efflux (n) | not approved | - | EXHAUST (n)
effort (n) | not approved | - | FORCE (TN), TRY (v)
either (adj) | not approved | - | ONE (TN) (TN)
either (conj) | not approved | - | OR (conj)
either (pron) | not approved | - | ONE (TN), OTHER
EJECT (v) | approved | to move or to cause a person or item to move from an aircraft or equipment with force | -
ejection (n) | not approved | - | EJECT (v)
elapse (v) | not approved | - | TIME (n), AFTER (prep), INTERVAL (n)
ELECTRIC (adj) | approved | operated by electricity | -
ELECTRICAL (adj) | approved | related to electricity | -
ELECTRICALLY (adv) | approved | related to or operated by electricity | -
ELECTROMAGNETIC (adj) | approved | related to electromagnetism | -
ELECTROMAGNETICALLY (adv) | approved | related to electromagnetism | -
ELECTRONIC (adj) | approved | related to or operated by electronics | -
ELECTRONICALLY (adv) | approved | related to or operated by electronics | -
eliminate (v) | not approved | - | REMOVE (v), STOP (v), PREVENT (v)
EMERGENCY (n) | approved | a condition that occurs suddenly and is dangerous | -
emit (v) | not approved | - | FROM (prep)
employ (v) | not approved | - | USE (v), HAVE (v)
EMPTY (adj) | approved | without contents | -
empty (v) | not approved | - | REMOVE (v)
enable (v) | not approved | - | LET (v)
encircle (v) | not approved | - | AROUND (prep)
enclosed (adj) | not approved | - | CLOSED (adj)
encounter (v) | not approved | - | BE (v), FIND (v)
END (n) | approved | where time, distance, or sequence are completed | -
end (v) | not approved | - | STOP (v), COMPLETE (v)
ENERGIZE (v) | approved | to supply electrical power to | -
enforce (v) | not approved | - | OBEY (v)
ENGAGE (v) | approved | to correctly align and come together | -
engagement (n) | not approved | - | ENGAGE (v)
enlarge (v) | not approved | - | INCREASE (v), LARGE (adj)
enough (adj) | not approved | - | SUFFICIENT (adj)
ensue (v) | not approved | - | CAUSE (v)
ensure (v) | not approved | - | MAKE SURE (v)
enter (v) | not approved | - | GO INTO, RECORD (v), ENTRY (n)
entire (adj) | not approved | - | FULL (adj), ALL (adj)
entirely (adv) | not approved | - | FULLY (adv)
ENTRANCE (n) | approved | an opening to go into a space | -
ENTRY (n) | approved | a record of an occurrence | -
EQUAL (adj) | approved | the same dimension, quality, quantity, or number | -
equal (v) | not approved | - | SAME (adj), EQUAL (adj)
EQUALLY (adv) | approved | the same dimension, quality, quantity, or number | -
equip (v) | not approved | - | INSTALL (v)
EQUIPMENT (n) | approved | the objects or tools used for operation and maintenance | -
equipped (adj) | not approved | - | HAVE (v)
EQUIVALENT (adj) | approved | has the same properties, functions, or values | -
EQUIVALENT (n) | approved | something that has the same properties, functions, or values | -
ERASE (v) | approved | to remove data from a medium | -
erect (v) | not approved | - | ASSEMBLE (v), BECOME STABLE
erratic (adj) | not approved | - | IRREGULAR (adj)
ERROR (n) | approved | the difference from that which is correct or accurate | -
escape (v) | not approved | - | DEFLATE (v), RELEASE (v)
establish (v) | not approved | - | MAKE SURE (v)
ESTIMATE (n) | approved | a calculated, approximate result | -
estimate (v) | not approved | - | ESTIMATE (n)
evaluate (v) | not approved | - | EXAMINE (v), ANALYSIS (TN)
evaluation (n) | not approved | - | EXAMINE (v), ANALYSIS (TN)
evaporate (v) | not approved | - | DRY (v)
even (adj) | not approved | - | SMOOTH (adj), SAME (adj), FLAT (adj), FLUSH (adj), LEVEL (adj)
evenly (adv) | not approved | - | GRADUALLY (adv), EQUALLY (adv)
event (n) | not approved | - | IF (conj)
eventually (adv) | not approved | - | SOME TIME
every (adj) | not approved | - | ALL (adj), EACH (adj), INTERVAL (n)
evidence (n) | not approved | - | INDICATION (n), SIGN (n), SHOW (v)
evidence (v) | not approved | - | SHOW (v), FIND (v)
evident (adj) | not approved | - | FIND (v)
exact (adj) | not approved | - | ACCURATE (adj), CORRECT (adj)
exactly (adv) | not approved | - | ACCURATELY (adv), FULLY (adv), CORRECT (adj)
examination (n) | not approved | - | EXAMINE (v), FIND (v)
EXAMINE (v) | approved | to look carefully at | -
EXAMPLE (n) | approved | something from a group which has the same qualities as the group | -
exceed (v) | not approved | - | MORE THAN
except (prep) | not approved | - | To replace this word, use a different construction. Be accurate.
exception (n) | not approved | - | To replace this word, use a different construction. Be accurate.
exceptional (adj) | not approved | - | UNUSUAL (adj)
exceptionally (adv) | not approved | - | UNUSUALLY (adv)
excess (adj) | not approved | - | TOO MUCH, MORE THAN, UNWANTED (adj), NOT NECESSARY
excess (n) | not approved | - | TOO MUCH, MORE THAN
excessive (adj) | not approved | - | TOO MUCH, MORE THAN
excessively (adv) | not approved | - | TOO MUCH, MORE THAN
exchange (v) | not approved | - | INTERCHANGE (v), REPLACE (v)
exclude (v) | not approved | - | NOT INCLUDE, NOT USE
excluding (prep) | not approved | - | WITHOUT (prep)
execute (v) | not approved | - | DO (v)
exempt (adj) | not approved | - | NO (adj), NOT SHOW
exercise (v) | not approved | - | MAKE SURE (v), CAREFUL (adj)
exert (v) | not approved | - | APPLY (v), PUT (v)
exhale (v) | not approved | - | BREATHE (v)
EXHAUST (n) | approved | the gas from an engine | -
exhaust (v) | not approved | - | REMOVE (v), DECREASE (v), RELEASE (v)
exhaustive (adj) | not approved | - | ALL (adj), FULL (adj)
exist (v) | not approved | - | BE (v)
EXIT (n) | approved | an opening to go out of a space | -
EXPAND (v) | approved | to increase in dimension, volume, or time | -
expect (v) | not approved | - | POSSIBLE (adj)
expel (v) | not approved | - | REMOVE (v), BLEED (v), RELEASE (v)
EXPIRED (adj) | approved | more than the permitted life | -
explain (v) | not approved | - | TELL (v)
EXPLOSION (n) | approved | the effect when an explosive material quickly releases its energy | -
EXPLOSIVE (adj) | approved | that can cause an explosion | -
expose (v) | not approved | - | GET (v)
EXTEND (v) | approved | to increase, or cause something to increase, in dimension or range | -
EXTENSION (n) | approved | the action when something extends; the result when something extends | -
extent (n) | not approved | - | DEPTH (n), LENGTH (n), WIDTH (n)
exterior (n) | not approved | - | EXTERNAL (adj)
EXTERNAL (adj) | approved | of, or on, the outer side | -
EXTERNALLY (adv) | approved | of, or on, the outer side | -
EXTINGUISH (v) | approved | to stop burning For lights or lamps, use: | GO OFF, BE OFF
extra (adj) | not approved | - | MORE (adj)
extract (v) | not approved | - | REMOVE (v)
extreme (adj) | not approved | - | VERY (adj)
extremely (adv) | not approved | - | VERY (adv)
exude (v) | not approved | - | OUT OF (prep)
fabricate (v) | not approved | - | MAKE (v)
FACE (n) | approved | the front surface of an object technical noun when it refers to a part of the body. | -
face (v) | not approved | - | POINT (v), TURN (v)
facilitate (v) | not approved | - | HELP (v), MAKE ... EASIER
facility (n) | not approved | - | Be accurate. Use the name of the facility as a technical noun.
FACT (n) | approved | something that occurred or is correct | -
factor (n) | not approved | - | CAUSE (n)
fail (v) | not approved | - | IF ... NOT, FAILURE (TN), UNSATISFACTORY (adj)
failed (adj) | not approved | - | DEFECTIVE (adj), UNSERVICEABLE (adj)
failure (n) | not approved | - | IF ... NOT
faint (adj) | not approved | - | DIM (adj), INTENSITY (n), BRIGHT (adj)
fall (n) | not approved | - | DECREASE (v)
FALL (v) | approved | to move down by the force of gravity | -
false (adj) | not approved | - | INCORRECT (adj)
falter (v) | not approved | - | SMOOTHLY (adv), CONSTANT (adj)
familiar (adj) | not approved | - | KNOW (v)
FAR (adj) | approved | at or to a relatively large | -
fashion (n) | not approved | - | PROCEDURE (n)
FAST (adj) | approved | at high speed | -
fast (adv) | not approved | - | QUICKLY (adv)
fasten (v) | not approved | - | ATTACH (v), CONNECT (v)
fatal (adj) | not approved | - | KILL (v)
faulty (adj) | not approved | - | DEFECTIVE (adj), INCORRECT (adj), UNSERVICEABLE (adj), UNSATISFACTORY (adj)
fear (v) | not approved | - | THINK (v), MAKE SURE (v)
feasible (adj) | not approved | - | POSSIBLE (adj), CAN (CANNOT) (v)
FEATHER (v) | approved | to put a propeller to a position of minimum drag | -
feature (v) | not approved | - | HAVE (v)
feed (v) | not approved | - | PUT (v), SUPPLY (v)
FEEL (v) | approved | to touch to find | -
few (adj) | not approved | - | SMALL NUMBER
few (a few) (adj) | not approved | - | SOME (adj)
file (v) | not approved | - | REMOVE (v) (WITH A FILE [TN])
filing (n) | not approved | - | PARTICLE (n)
FILL (v) | approved | to put into a container or a space to the maximum level or, if specified, to a given level, pressure, or quantity | -
film (n) | not approved | - | LAYER (n)
filter (v) | not approved | - | FILTER (TN)
FILTERED (adj) | approved | that has gone through a filter | -
final (adj) | not approved | - | LAST (adj)
FIND (v) | approved | to discover, to examine something so that you know | -
finding (n) | not approved | - | RESULT (n)
fine (adj) | not approved | - | SMALL (adj)
finger-tighten (v) | not approved | - | TIGHTEN ... WITH YOUR FINGERS
FINISH (n) | approved | the result of a finishing procedure | -
finish (v) | not approved | - | COMPLETE (v)
FIRE (n) | approved | the light and/or heat from a material when it burns | -
FIRE (v) | approved | to ignite, or to operate items that contain an explosive material | -
firmly (adv) | not approved | - | TIGHTLY (adv)
FIRST (adv) | approved | before other persons or things | -
FIT (n) | approved | the relation between two related parts, a limit of tolerance | -
fit (v) | not approved | - | INSTALL (v), ATTACH (v), CORRECT (adj)
fix (v) | not approved | - | ATTACH (v), SET (v), REPAIR (v), INSTALL (v)
FLAME (n) | approved | burning gas | -
FLAMMABLE (adj) | approved | that burns easily | -
FLANGE (n) | approved | an end surface at an angle | -
FLASH (v) | approved | to come on and go off frequently | -
FLAT (adj) | approved | that has a continuous | -
flatness (n) | not approved | - | FLAT (adj)
flatten (v) | not approved | - | FLAT (adj)
flaw (n) | not approved | - | DAMAGE (n), DEFECTIVE (adj)
flex (v) | not approved | - | BEND (v)
FLEXIBLE (adj) | approved | that can easily bend again and again | -
FLIGHT (n) | approved | the time an aircraft is in the air | -
flood (v) | not approved | - | USE TOO MUCH
FLOW (n) | approved | a continuous movement of fluid | -
FLOW (v) | approved | to move as a fluid moves | -
fluctuate (v) | not approved | - | CONSTANT (adj)
FLUID (n) | approved | liquid or gas | -
FLUSH (adj) | approved | of a surface that is level or continuous with another surface | -
FLUSH (v) | approved | to remove something or to operate with a flow of liquid | -
focus (v) | not approved | - | FOCUS (TN)
fold (n) | not approved | - | FOLD (v)
FOLD (v) | approved | to double over or to cause to double over on itself | -
FOLLOW (v) | approved | to come after, to go after | OBEY (v)
following (adj) | not approved | - | THESE (adj), FOLLOW (v)
FOR (prep) | approved | function word that shows purpose, intent, time, result, or the object of an action | -
FOR EXAMPLE | approved | used to introduce something chosen as a typical case | -
forbidden (adj) | not approved | - | DO NOT, NOT PERMITTED
force (v) | not approved | - | PUSH (v), FORCE (TN)
forecast (v) | not approved | - | POSSIBLE (adj)
foreign (adj) | not approved | - | UNWANTED (adj)
foremost (adj) | not approved | - | FRONT (n)
form (n) | not approved | - | SHAPE (n)
form (v) | not approved | - | BE (v)
fortify (v) | not approved | - | STRONG (adj)
FORWARD (adj) | approved | nearer to the front | -
FORWARD (adv) | approved | in the direction of the front | -
FORWARD OF (prep) | approved | at a position nearer to the front | -
foul (v) | not approved | - | CATCH (v), HIT (v), TOUCH (v), CLEARANCE (n)
fouled (adj) | not approved | - | DIRTY (adj), CLOGGED (adj), CATCH (v)
fragile (adj) | not approved | - | EASILY DAMAGED
FREE (adj) | approved | that can move easily compound adjectives with free, for example, lintfree, dustfree, unless they are technical nouns. | -
free (v) | not approved | - | RELEASE (v)
free from (adj) | not approved | - | NO (adj)
FREELY (adv) | approved | that can move easily | -
FREEZE (v) | approved | to go or cause to go to a temperature below the freezing point of a liquid (usually of water) | -
FREQUENT (adj) | approved | that occurs or is found often at short intervals | -
FREQUENTLY (adv) | approved | at frequent or short intervals | -
fresh (adj) | not approved | - | CLEAN (adj), NEW (adj)
FROM (prep) | approved | function word that shows a point of departure for movement, time, distance, action, or separation | -
FRONT (adj) | approved | nearer to the person that looks or a reference point | -
FRONT (n) | approved | the front part or the front surface | -
fuel (v) | not approved | - | REFUEL (v)
fulfill (v) | not approved | - | OBEY (v)
FULL (adj) | approved | at or related to | -
FULLY (adv) | approved | at or related to maximum travel, length, quantity, or detail | -
FUNCTION (n) | approved | action or activity that a person or thing does | -
function (v) | not approved | - | OPERATE (v), MOVE (v)
fundamental (adj) | not approved | - | IMPORTANT (adj)
further (adj) | not approved | - | MORE (adj)
further (adv) | not approved | - | MORE (adv)
gain (n) | not approved | - | INCREASE (v)
gain (v) | not approved | - | GET (v)
gall (v) | not approved | - | GALLING (TN)
gap (n) | not approved | - | CLEARANCE (n), DISTANCE (n), SPACE (n)
garbled (adj) | not approved | - | CLEAR (adj), CLEARLY (adv)
garner (v) | not approved | - | COLLECT (v)
GAS (n) | approved | a fluid that has no shape or volume and that can expand | -
gaseous (adj) | not approved | - | GAS (n)
gash (v) | not approved | - | DAMAGED (adj)
gather (v) | not approved | - | COLLECT (v)
gauge (v) | not approved | - | MEASURE (v)
GENERAL (adj) | approved | of, or related to something as a whole, not detailed | -
generally (adv) | not approved | - | USUALLY (adv)
generate (v) | not approved | - | BE (v), GIVE (v), SUPPLY (v)
generous (adj) | not approved | - | LARGE (adj), THICK (adj)
generously (adv) | not approved | - | LARGE (adj), THICK (adj)
gentle (adj) | not approved | - | CAREFULLY (adv), LIGHTLY (adv)
gently (adv) | not approved | - | CAREFULLY (adv), LIGHTLY (adv)
genuine (adj) | not approved | - | CORRECT (adj)
GET (v) | approved | to obtain, to come into the state of having. Do not use to mean BECOME, GO, DECREASE, or INCREASE. | -
get (v) | not approved | - | BECOME (v)
get away (v) | not approved | - | GO AWAY
get down (v) | not approved | - | DECREASE (v), GO DOWN
get into (v) | not approved | - | GO INTO
get off (v) | not approved | - | MOVE OFF
get to (v) | not approved | - | BE (v), GO (v), INCREASE (v)
GIVE (v) | approved | to provide | -
gleam (v) | not approved | - | SHINY (adj)
glitch (n) | not approved | - | ERROR (n), FAILURE (TN), UNSERVICEABLE (adj)
gloss (n) | not approved | - | SHINY (adj)
GLOSSY (adj) | approved | smooth and shiny | -
glow (v) | not approved | - | BE (v)
glue (v) | not approved | - | BOND (v), ATTACH (v)
GO (v) | approved | to move to or from something | -
GO OFF (v) | approved | to become dark when an internal power source is de-energized | -
GOOD (adj) | approved | that is satisfactory | -
gouge (v) | not approved | - | GOUGE (TN)
govern (v) | not approved | - | CONTROL (v)
grab (v) | not approved | - | USE (v), HOLD (v)
gradient (n) | not approved | - | SLOPE (n)
gradual (adj) | not approved | - | GRADUALLY (adv)
GRADUALLY (adv) | approved | slowly and continuously | -
graph (v) | not approved | - | GRAPH (TN)
grasp (v) | not approved | - | HOLD (v)
grave (adj) | not approved | - | DANGEROUS (adj)
grease (v) | not approved | - | LUBRICATE (v), GREASE (TN)
great (adj) | not approved | - | LARGE (adj), MORE THAN, VERY (adv)
greatly (adv) | not approved | - | VERY MUCH
grip (n) | not approved | - | HOLD (v)
grip (v) | not approved | - | HOLD (v)
GROOVE (n) | approved | a long channel that is not wide | -
GROUND (n) | approved | the surface of the earth | -
GROUND (v) | approved | to connect to the ground or to a large object of zero potential | -
GROUP (n) | approved | objects that are related | -
grow (v) | not approved | - | BECOME (v)
guard (v) | not approved | - | GUARD (TN)
guide (v) | not approved | - | PUT (v), MOVE (v)
gush (v) | not approved | - | FLOW (n)
halt (v) | not approved | - | STOP (v)
halve (v) | not approved | - | HALF (TN)
hamper (v) | not approved | - | PREVENT (v)
hand-tight (adj) | not approved | - | TIGHTEN ... WITH YOUR HAND
hand-tighten (v) | not approved | - | TIGHTEN ... WITH YOUR HAND
handle (v) | not approved | - | MOVE (v), TOUCH (v), USE (v), CAREFUL (adj)
HANG (v) | approved | to attach or to be attached to something above with no support from below | -
happen (v) | not approved | - | OCCUR (v)
HARD (adj) | approved | not easy to cut, not easy | -
harden (v) | not approved | - | HARD (adj), CURE (TV)
harm (v) | not approved | - | INJURY (n), IRRITATION (TN)
harmful (adj) | not approved | - | DANGEROUS (adj), INJURY (n)
harmonize (v) | not approved | - | AGREE (v), ALIGN (v)
haul (v) | not approved | - | TOW (v), MOVE (v)
HAVE (v) | approved | to possess as a part or quality | -
have to (v) | not approved | - | Use a verb in the imperative form
hazard (n) | not approved | - | DANGEROUS (adj)
hazardous (adj) | not approved | - | DANGEROUS (adj)
hazy (adj) | not approved | - | HAZE (TN)
HEAD (n) | approved | the top of something | -
head (v) | not approved | - | POINT (v)
HEAR (v) | approved | to know by sound in the ear | -
HEAT (n) | approved | the condition or quality of being hot | -
heat (v) | not approved | - | HEAT (n), HOT (adj)
HEAVY (adj) | approved | that has a large mass, | -
HEIGHT (n) | approved | the vertical distance | -
heighten (v) | not approved | - | INCREASE (v)
help (n) | not approved | - | AID (n)
HELP (v) | approved | to make something easier or better | -
helpful (adj) | not approved | - | HELP (v)
HERE (adv) | approved | in this position | -
hesitation (n) | not approved | - | SMOOTHLY (adv), CORRECTLY (adv), IMMEDIATELY (adv)
HIGH (adj) | approved | that is of large value | -
highly (adv) | not approved | - | VERY (adv)
hinder (v) | not approved | - | PREVENT (v), DECREASE (v), BLOCKAGE (n), CLOGGED (adj)
hinge (v) | not approved | - | TURN (v)
HIT (v) | approved | to touch suddenly and with much force | -
hitch (v) | not approved | - | CONNECT (v)
hoist (v) | not approved | - | LIFT (v)
hold (n) | not approved | - | HOLD (v)
HOLD (v) | approved | to continue to have in the hand or grip; to continue to have in a specified location, position, or condition | -
hold back (v) | not approved | - | PREVENT (v)
hold off (v) | not approved | - | PREVENT (v)
HOLE (n) | approved | an empty space in a solid object | -
hook (v) | not approved | - | PUT (v)
hook up (v) | not approved | - | CONNECT (v)
HORIZONTAL (adj) | approved | parallel to the horizon or a baseline | -
HORIZONTALLY (adv) | approved | in a horizontal position | -
HOT (adj) | approved | at a high temperature | -
house (v) | not approved | - | CONTAIN (v)
HOW (adv) | approved | by which manner | -
however (adv) | not approved | - | BUT (conj)
huge (adj) | not approved | - | LARGE (adj)
hum (v) | not approved | - | HUM (TN)
hurt (v) | not approved | - | INJURY (n)
HYDRAULIC (adj) | approved | related to, or operated by, pressurized liquid | -
HYDRAULICALLY (adv) | approved | with hydraulic power | -
identical (adj) | not approved | - | SAME (adj)
IDENTIFICATION (n) | approved | something that identifies an object | -
IDENTIFY (v) | approved | to use a specified code or marking to supply with an identity; to show an identity | FIND (v)
idle (v) | not approved | - | IDLE (TN)
IF (conj) | approved | in the event that, on the condition that, in case of | -
ignite (v) | not approved | - | IGNITION (TN)
IGNORE (v) | approved | not to think about something, not to do something about | -
ILLUMINATE (v) | approved | to make something visible with an external light source For lights or lamps, use: | COME ON, BE ON
immediate (adj) | not approved | - | IMMEDIATELY (adv)
IMMEDIATELY (adv) | approved | without a gap of time or space | -
immerse (v) | not approved | - | SOAK (v), PUT FULLY INTO
immobilize (v) | not approved | - | LOCK (v), PREVENT MOVEMENT WHEN YOU REPAIR
impact (n) | not approved | - | HIT (v)
impact (v) | not approved | - | HIT (v), EFFECT (n)
impair (v) | not approved | - | DECREASE (v), OPERATE, INCORRECTLY, CAUSE DAMAGE
implement (v) | not approved | - | DO (v)
implementation (n) | not approved | - | DO (v)
IMPORTANT (adj) | approved | that has a significant effect | -
impossible (adj) | not approved | - | NOT POSSIBLE, CANNOT (v)
impregnate (v) | not approved | - | SOAK (v)
impression (n) | not approved | - | THINK (v)
improper (adj) | not approved | - | INCORRECT (adj)
improperly (adv) | not approved | - | INCORRECTLY (adv)
improve (v) | not approved | - | BETTER (adj)
impurity (n) | not approved | - | UNWANTED MATERIAL USE A FILTER TO, CONTAMINATION (n)
IN (adv) | approved | to, or into a location or position | -
IN (prep) | approved | function word that shows location, position, condition, time, or limits | -
IN FRONT OF (prep) | approved | in a position ahead of | -
IN PROGRESS (adv) | approved | occurring | -
inactive (adj) | not approved | - | NOT ACTIVE
inadvertent (adj) | not approved | - | ACCIDENTAL (adj)
inadvertently (adv) | not approved | - | ACCIDENTALLY (adv)
INBOARD (adj) | approved | nearer to the longitudinal axis | -
INBOARD (adv) | approved | in or to a position nearer to the longitudinal axis | -
INBOARD OF (prep) | approved | at a position nearer to the longitudinal axis | -
INCIDENT (n) | approved | an important occurrence that can cause damage or have dangerous results | -
incline (n) | not approved | - | SLOPE (n)
INCLUDE (v) | approved | to make, or to be, part of | -
including (prep) | not approved | - | THRU (prep), WITH (prep)
incompatible (adj) | not approved | - | NOT COMPATIBLE
incomplete (adj) | not approved | - | NOT FULL, NOT COMPLETED, ALL (adj)
incorporate (v) | not approved | - | INCLUDE (v), HAVE (v)
incorporation (n) | not approved | - | INCLUDE (v)
INCORRECT (adj) | approved | not correct | -
INCORRECTLY (adv) | approved | in an incorrect manner | -
increase (n) | not approved | - | INCREASE (v)
INCREASE (v) | approved | to make or become larger or higher in value | -
INCREMENT (n) | approved | one of a sequence of regular operations done one after the other, to increase or decrease an adjustable quantity | -
incur (v) | not approved | - | CAUSE (v)
independent (adj) | not approved | - | INDEPENDENTLY (adv)
INDEPENDENTLY (adv) | approved | without a relation with | -
indicate (v) | not approved | - | SHOW (v), IDENTIFY (v), SPECIFIED (adj)
